,WS.pkl,power.pkl
119,"(0.6371324383685647, 0.7020103331881126)","(14.85665255940781, 0.06020775998811032)"
120,"(12.649504092598123, -0.6546761552550354)","(3.01147055454714, 0.7229780105225098)"
121,"(14.281202054894049, -0.5888518599804315)","(5.259378957078393, 0.6639338543764024)"
122,"(16.99211307864934, -0.46108065605431897)","(7.542838108313492, 0.5953313994331592)"
123,"(18.001415275334963, -0.3733637206679628)","(10.12234660059975, 0.5236222688411014)"
124,"(18.31783752142232, -0.21270867120793788)","(11.849497189032538, 0.4561449175957074)"
125,"(16.956417934152977, -0.036811932157721806)","(14.507607344895371, 0.3864456204626584)"
126,"(13.916988720106426, 0.17030814440217373)","(16.717861504780995, 0.29691346476610925)"
127,"(8.243145716847616, 0.44210154864474677)","(19.056630418949123, 0.2284898156980463)"
128,"(2.621449339296313, 0.6683968393546607)","(22.355095350382257, 0.11231718126863122)"
129,"(0.6514966511259518, 0.7416755010826155)","(24.403777758909385, -0.0669576486423722)"
130,"(12.058358778792376, -0.7242436811982242)","(3.555936533556378, 0.7525292606920415)"
131,"(14.450141905710359, -0.6547150163438182)","(7.134418851080345, 0.6750468680813144)"
132,"(17.742502310439782, -0.5353546214523058)","(10.845921355599925, 0.5816261877259576)"
133,"(20.001314011354854, -0.40019125295404745)","(15.124833178788586, 0.4777727739249743)"
134,"(20.71979735494687, -0.2961893650055648)","(19.66895503398617, 0.3636118433456357)"
135,"(19.88470263477687, -0.07737968119151564)","(22.564762338747038, 0.28894601161569994)"
136,"(16.46150267647246, 0.14509650130007007)","(26.64645906766715, 0.17970457382495272)"
137,"(10.152669981212764, 0.42090016686494974)","(30.326053045528404, 0.061878055054522554)"
138,"(2.727653528728539, 0.6762343356012779)","(34.25984662796173, -0.06349894181062991)"
139,"(0.612969219979403, 0.7444961718473813)","(37.94913749511862, -0.23224732697814798)"
140,"(7.028144826581911, -0.8369472219759908)","(3.1051566255338665, 0.7382764450132088)"
141,"(10.657624607956826, -0.7267703465857115)","(10.243544306769188, 0.5737504163636868)"
142,"(12.455233713533373, -0.6532576251859509)","(15.877248377648186, 0.42571715400980903)"
143,"(15.024671514775443, -0.5326993599298919)","(21.025367757781837, 0.27454915877823627)"
144,"(16.290850485485226, -0.41573861479670615)","(27.727693511725988, 0.1252156745962405)"
145,"(16.601115915916424, -0.17855751538920767)","(35.99446798823615, -0.0691234232256691)"
146,"(14.098834856042046, 0.05953643805827671)","(39.30503304017377, -0.20607734992873813)"
147,"(8.991639396197902, 0.33172361817962154)","(45.213444096214836, -0.38595405713032804)"
148,"(2.6606126376318158, 0.5819024295718164)","(50.16017161803396, -0.5909907237836578)"
149,"(0.47319315678325, 0.6611997530845343)","(57.62261356981435, -0.7300937162237989)"
