,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
482,84,2,BA,-113.21165363606039,-78.96894259064955,566.2035935210047,[ 51.76086957   5.97101449 -48.80434783],[ 51.46428571   8.90714286 -54.74285714],[ 52.95804196   7.76223776 -56.00699301],1345
483,85,2,BA,-1.4432775975760137,-220.77068704574444,467.38576183201275,[76.16546763 64.75539568 19.46043165],[72.92907801 65.16312057 19.83687943],[69.94927536 65.61594203 20.74637681],1345
484,86,2,BA,61.27881600984936,-78.17145736936158,615.2215331345468,[-8.76642336 50.58394161 82.98540146],[-10.43165468  51.24460432  85.0647482 ],[-10.33823529  50.53676471  83.39705882],1345
485,87,2,BA,63.491343062143244,30.24604871371606,619.6726878780455,[29.62589928 26.17985612 98.49640288],[34.41007194 27.90647482 97.72661871],[ 34.77622378  26.70629371 100.65734266],1345
486,88,2,BA,79.8932925368974,45.112383025106865,361.7185736472891,[78.78518519 35.51851852 -6.84444444],[ 78.38028169  33.8943662  -10.73943662],[ 76.11428571  30.87142857 -16.70714286],1345
487,89,2,BA,226.04445978371163,-205.10051782794255,328.6472892015021,[  60.12686567   69.29104478 -107.29850746],[  57.55639098   72.46616541 -104.53383459],[  54.11888112   76.6013986  -102.63636364],1345
488,90,2,BA,275.73162253331736,-370.2497801663137,648.8223161645244,[  39.5106383    75.53191489 -132.22695035],[  43.07246377   73.78985507 -135.62318841],[  47.34074074   71.91111111 -138.44444444],1345
489,91,2,BA,367.51670966333984,-118.94214931227921,213.568318032842,[  5.53146853   2.37762238 -60.34965035],[  7.10638298   7.35460993 -61.27659574],[  8.5625       8.76388889 -65.13888889],1345
490,92,2,BA,253.91457876174988,2.9302722913545525,169.02775431710975,[ 46.18518519 112.94074074  39.67407407],[ 46.43609023 112.43609023  40.34586466],[ 45.09230769 113.53076923  40.        ],1345
491,93,2,BA,118.40938742876384,1.0161771953554561,461.9510743855894,[   1.91549296   50.41549296 -120.80985915],[   1.08510638   55.13475177 -120.75177305],[   2.56737589   58.45390071 -122.9858156 ],1345
492,94,2,BA,205.27735267337562,161.38876456990297,750.2348576789971,[118.62676056  72.96478873 -44.04929577],[116.59701493  74.23134328 -42.54477612],[113.56296296  76.73333333 -41.42222222],1345
493,95,2,BA,191.44328338097603,-15.980630664508325,584.2947948495433,[ 49.92805755  -6.48920863 -32.60431655],[ 48.37588652  -4.39716312 -30.5035461 ],[ 45.52554745  -6.05109489 -31.67153285],1345
494,96,2,BA,157.84479717999304,0.6848894522623139,396.3478243860615,[ 29.19708029 -18.44525547  22.25547445],[ 29.25925926 -20.16296296  19.94074074],[ 28.98518519 -21.97777778  19.45925926],1345
495,97,2,BA,100.90758814318461,217.26689672780827,277.6117591792903,[107.75912409 -47.10218978 -51.38686131],[109.11428571 -47.52857143 -51.27142857],[107.00746269 -46.29104478 -50.13432836],1345
496,98,2,BA,29.772033003822898,95.7673582826603,279.59651839160557,[102.66666667 -22.09027778  -4.81944444],[ 1.02900709e+02 -2.14468085e+01 -6.38297872e-02],[ 96.02877698 -21.48920863   1.17266187],1345
497,99,2,BA,-204.30254345350514,-61.99618595052852,430.7813901874577,[ 46.29370629  56.67832168 -38.17482517],[ 46.66666667  56.9787234  -38.37588652],[ 46.53846154  55.46153846 -36.95804196],1345
498,100,2,BA,-88.77064228732634,27.80047291937682,362.7170002111194,[-7.07575758 39.26515152 14.08333333],[-5.17985612 39.33093525 12.52517986],[-7.00746269 39.24626866 14.12686567],1345
499,101,2,BA,200.94759376873938,-285.0809233405092,277.29342026770576,[92.69402985 29.1641791  12.7761194 ],[92.         28.4379562  11.95620438],[90.12781955 26.91729323 10.38345865],1345
500,102,2,BA,-135.20478520496198,-428.69313383022455,456.6759260018203,[17.67605634 23.20422535 68.02816901],[17.18115942 18.86956522 66.49275362],[20.5323741  17.22302158 64.77697842],1345
501,103,2,BA,-73.20688819127535,-236.29161555831473,592.8507532745475,[-16.18309859 -48.36619718 -71.41549296],[-15.92857143 -44.07142857 -72.47142857],[-13.82394366 -44.80985915 -74.36619718],1345
502,104,2,BA,-135.58136297085585,-281.91910976562815,660.6709509840861,[  -5.66197183  141.75352113 -115.42957746],[  -5.21582734  144.34532374 -117.01438849],[  -3.09352518  145.85611511 -120.1942446 ],1345
503,105,2,BA,-421.7120968725931,-130.46749082891589,808.2143550160617,[  84.34042553   -4.23404255 -131.17021277],[  84.82681881   -3.02222222 -127.34220701],[  84.52554745   -3.97810219 -131.05109489],1345
504,106,2,BA,-310.0769870132597,-128.94906661793883,828.1814005535444,[-68.33333333  18.77777778 -78.74074074],[-67.32374101  19.5323741  -77.69064748],[-64.81560284  17.81560284 -76.4822695 ],1345
505,107,2,BA,-301.2297004164694,1.0100571683332262,637.587640165539,[45.26530612 82.29251701 36.34013605],[47.7826087  80.99275362 38.36956522],[47.66666667 79.49275362 41.68115942],1345
506,108,2,BA,-335.45362081226364,28.23794741473214,224.31691705518895,[ 17.24637681  35.96376812 -45.4057971 ],[ 16.05263158  36.93984962 -47.17293233],[ 17.18439716  36.0141844  -46.33333333],1345
507,109,2,BA,-289.85391165153766,-49.87958332757128,36.9870479084352,[ 67.31654676   2.88489209 -97.64748201],[ 66.82394366   3.38028169 -99.42957746],[  62.88571429    3.49285714 -102.88571429],1345
508,110,2,BA,-171.2028534300684,-45.335941968878004,-86.12096444211087,[58.68309859 85.90140845 -4.23239437],[62.23644431 87.4083162  -1.86619718],[63.0647482  87.14388489 -4.3381295 ],1345
509,111,2,BA,-363.5890931392171,205.8823487455538,-27.03890976221967,[ 125.18978102    6.70072993 -160.01459854],[ 120.82068966    5.52413793 -158.04137931],[ 121.28057554    0.42446043 -157.17266187],1345
510,112,2,BA,-484.16336140513954,72.0847736392341,82.80251776936134,[ 14.71631206  45.09929078 -41.82978723],[ 11.65217391  47.20289855 -42.24637681],[  9.57971014  50.44202899 -41.73913043],1345
511,113,2,BA,-366.33044809144144,292.0928620731467,-151.57730641757595,[ 24.96478873 134.95774648 -95.53521127],[ 26.36567164 134.6119403  -97.25373134],[ 26.0729927  135.83211679 -95.50364964],1345
512,114,2,BA,-342.8954403610364,376.1531644840934,-101.35550968881356,[86.60294118 75.         64.79411765],[83.51724138 76.57241379 67.23448276],[81.58865248 73.46808511 69.79432624],1345
513,115,2,BA,-340.3289263483078,217.99882358101365,-349.76537742100584,[-23.54074074  55.33333333 -44.20740741],[-21.11678832  55.24817518 -44.29927007],[-22.54744526  55.00729927 -44.29927007],1345
514,116,2,BA,-229.556158818485,30.67038751831815,-200.25762096155916,[  58.16788321  -22.99270073 -153.5620438 ],[  57.35294118  -19.54411765 -150.52941176],[  57.45185185  -18.85185185 -149.11851852],1345
515,117,2,BA,-159.13082397657234,91.09342669175702,-587.4885090831262,[   7.6369863    49.49315068 -100.20547945],[  6.39160839  49.69230769 -99.97202797],[  9.93661972  48.70422535 -98.32394366],1345
516,118,2,BA,-47.940979562648096,73.63905279122379,-532.1143071049321,[-82.7810219    3.9270073    2.31386861],[-84.38970588   2.89705882   2.68382353],[-87.30434783   2.52898551  -0.93478261],1345
517,119,2,BA,2.1442422216230304,-184.82287009845643,-460.0636904203487,[  72.72535211  102.04225352 -122.05633803],[  72.71014493  101.52898551 -116.65217391],[  70.93571429   97.42857143 -115.03571429],1345
518,120,2,BA,-114.35303633916276,-348.055077281398,-367.3544629927644,[  75.77304965    5.04964539 -163.04255319],[  77.20863309    5.97841727 -162.38848921],[  77.35915493    5.94366197 -162.87323944],1345
519,121,2,BA,-68.67591351899326,-137.30038362943523,-302.1722732271503,[ 14.28676471  51.09558824 -35.35294118],[ 11.94285714  52.59285714 -34.72142857],[ 11.64748201  54.26618705 -35.28057554],1345
520,122,2,BA,-56.90668383718052,-232.1623279839505,-130.0095744451526,[102.58273381  57.48201439  -3.90647482],[102.26573427  59.45454545  -4.18881119],[101.5         58.19117647  -4.11764706],1345
521,123,2,BA,-140.12538057180495,-329.28216161949496,-212.85967290986034,[ 31.73381295  -1.36690647 -44.36690647],[ 31.36029412   2.80882353 -43.86764706],[ 31.32167832   5.1958042  -40.90909091],1345
522,124,2,BA,-14.583031697195196,-506.41853036417547,-312.26992320240305,[  -9.28368794  -49.9858156  -126.09219858],[  -7.79285714  -45.09285714 -126.97857143],[  -5.69444444  -41.875      -123.8125    ],1345
523,125,2,BA,-2.846943566002734,-265.35170003237766,-137.41470451250422,[ 16.25352113 100.63380282 -37.23943662],[ 18.1641791  100.         -35.23134328],[ 17.76335878  96.80152672 -36.03816794],1345
524,126,2,BA,245.3361316874019,-6.704625803900022,-209.66293909080736,[ 56.90298507  98.5        -92.32089552],[ 54.61870504  98.09352518 -96.68345324],[ 56.30882353  99.13235294 -97.61029412],1345
525,127,2,BA,170.6067044217441,221.78006640353956,59.22228759784636,[ 53.07857143   7.99285714 -34.38571429],[ 50.89583333   8.21527778 -35.06944444],[ 51.31111111   8.41481481 -35.88888889],1345
526,128,2,BA,442.8709568709272,345.1346219915271,148.89424440392995,[ 108.86428571   71.99285714 -110.32857143],[ 111.64028777   72.84172662 -112.98561151],[ 110.55474453   70.84671533 -113.22627737],1345
527,129,2,BA,430.8695475334524,249.2551078722223,431.36064483528537,[  91.68571429   94.37857143 -153.45714286],[  95.30215827   93.17266187 -153.84892086],[  94.5          90.21014493 -155.37681159],1345
528,130,2,BA,157.23891142185514,161.2244938275324,521.6944766323141,[ -9.81818182  21.04895105 -53.81818182],[-13.26760563  21.3028169  -55.3028169 ],[-13.33566434  19.08391608 -59.43356643],1345
