,time,center,coords,radius,order,type,iter,n_cells,speed
181,8,13,"[20, 7, 29]",6,6.530341090519052,GM,2,12.0,2.423973069309236
182,8,14,"[58, 7, 52]",6,13.311655355977905,GM,2,9.0,2.5156898812588286
183,8,15,"[30, 58, 11]",6,1.6936033422659449,GM,2,12.0,2.4254803563336544
184,8,16,"[41, 24, 29]",6,12.200802097540489,GM,2,12.0,2.1422582539988646
185,8,17,"[6, 6, 22]",6,10.488165974178571,GM,2,12.0,1.911660166197758
186,8,18,"[14, 38, 6]",6,3.849204032645943,GM,2,12.0,1.8689032268157593
187,8,19,"[23, 6, 6]",6,10.444875032882265,GM,2,9.0,2.5852438499317336
188,8,20,"[8, 59, 6]",6,2.678567125376709,GM,2,9.0,1.9519009116360349
189,9,0,"[53, 12, 35]",12,7.548037795537816,GM,2,6.0,2.004752053502051
190,9,1,"[14, 44, 46]",12,5.356254591717018,GM,2,9.0,2.5216177615646966
191,9,2,"[35, 20, 41]",9,9.1676269677857,GM,2,12.0,2.1270331209616775
192,9,3,"[51, 51, 15]",8,0.8673393393870867,GM,2,12.0,2.548522071148009
193,9,4,"[56, 25, 20]",8,4.319624425622912,GM,2,12.0,2.5876275983056605
194,9,5,"[26, 48, 18]",8,5.429469136368617,GM,2,15.0,1.7914161385520928
195,9,6,"[28, 49, 40]",7,0.6020530428920239,GM,2,9.0,2.226148537437235
196,9,7,"[57, 54, 31]",7,8.23988485374764,GM,2,15.0,2.288669951171342
197,9,8,"[8, 20, 57]",7,12.340805171879197,GM,2,12.0,2.2294291661410597
198,9,9,"[7, 37, 58]",7,10.665383841403226,GM,2,12.0,2.4595907345861967
199,9,10,"[48, 7, 10]",7,13.661374632830096,GM,2,9.0,1.8395592481728462
200,9,11,"[58, 58, 56]",7,6.626567300911802,GM,2,12.0,2.5370681812895435
201,9,12,"[7, 7, 58]",7,0.08444324217734334,GM,2,9.0,2.8448843868014726
202,9,13,"[20, 7, 29]",6,1.8936207602379156,GM,2,9.0,2.4047413043994723
203,9,14,"[58, 7, 52]",6,17.07110057116111,GM,2,15.0,2.4549063203809682
204,9,15,"[30, 58, 11]",6,3.568021333178457,GM,2,9.0,2.1352408976260673
205,9,16,"[41, 24, 29]",6,6.627944698109168,GM,2,18.0,2.003982297159771
