,time,iter,type,v_x,v_y,v_z,order,variance,n_cells
5394,21,1,BA,-105.28725214335559,-37.128706771737775,-77.56301974532083,135.9410473788298,5.395752885557815,1344
5395,22,1,BA,-50.39928653487015,-12.385467308348359,-11.45182445716953,53.14726866987556,5.539341628107143,1344
5396,23,1,BA,-92.20756853324443,-5.236419073716194,-57.91409118464262,109.0123742392195,5.681527986051389,1344
5397,24,1,BA,-137.27827592733013,8.172185732481427,16.433504444203578,138.4997102146572,5.5639950906555,1344
5398,25,1,BA,-65.15716253692403,79.7859853184198,12.660774386242174,103.78609970103686,5.411932106907497,1344
5399,26,1,BA,-7.371169169116653,36.44535903813595,-85.99479432509888,93.68939631225314,5.586216411577876,1344
5400,27,1,BA,-0.8765493073756008,16.007063712058848,-48.38885294179548,50.97524415236165,5.408753444179535,1344
5401,28,1,BA,-12.59897989225225,-37.433697190858084,-49.469335845204554,63.30269479783521,5.584613201801351,1344
5402,29,1,BA,-56.18917518426166,-26.76601339325534,-15.333117804535938,64.09951156181572,5.277125506695711,1344
5403,30,1,BA,-43.72380758524577,-63.01069331970981,28.280550139241182,81.74294060382373,5.117465824965127,1344
5404,31,1,BA,-14.145259102262308,-74.88569474964085,96.90609158477467,123.28319520292804,5.236808405369073,1344
5405,32,1,BA,-49.129231093909574,-58.02443865885613,46.77614647486899,89.2665934635826,5.156105406872219,1344
5406,33,1,BA,-100.08139307835279,-62.371866639739316,63.83800975100576,134.09633282681034,5.48511941704576,1344
5407,34,1,BA,-62.66212132338093,-52.12986560654971,45.283939896850654,93.24537280468468,5.589633811950224,1344
5408,35,1,BA,-67.84532287644448,-10.410147328366214,57.09881426454318,89.28400525303562,5.501096404582573,1344
5409,36,1,BA,-124.99427884030827,-20.80437079206077,67.69202376477267,143.6614132891391,5.747177087157373,1344
5410,37,1,BA,-83.42116036426356,21.06277979254738,55.81414070620981,102.55705237516388,5.917933665240868,1344
5411,38,1,BA,-38.738507088931414,22.17248463700368,21.337304034022107,49.47293755072211,5.8079220893885015,1344
5412,39,1,BA,7.1571979995239365,21.606711998933754,59.48334097684428,63.68942879612581,5.495009984929544,1344
5413,40,1,BA,75.62644413565587,48.564451808897246,74.83891072131146,116.95609257347223,5.550309051562475,1344
5414,41,1,BA,18.426652664167506,70.71476304837842,41.30771106678048,83.94311308839336,5.601308003328572,1344
5415,42,1,BA,18.686787281449842,19.644915109999744,99.58651288998111,103.21139597044323,5.412553580581673,1344
5416,43,1,BA,-12.291104693616727,-8.00848974165101,83.47167330599555,84.75097289727373,5.478001207706537,1344
5417,44,1,BA,-14.113365619803274,-37.96298464206929,128.24589398792352,134.48934759606038,5.570510596929053,1344
5418,45,1,BA,0.8128156107491606,-10.165661975666499,187.0112237725846,187.2890791518296,5.700879034380245,1344
5419,46,1,BA,-59.60732977455536,2.5541321023163093,177.33883217043697,187.10590249701661,5.629014571951657,1344
5420,47,1,BA,-29.542618351726173,-3.013203354043509,139.70978759490114,142.83091557271823,5.714345441662436,1344
5421,48,1,BA,-14.095423637025625,20.282282124211626,170.39430311096828,172.17511570591688,5.717626899874268,1344
5422,49,1,BA,48.31110759932938,36.449012443813224,187.3091111155031,196.84307641490244,5.428481524755253,1344
5423,50,1,BA,-43.49262012393557,-49.32437766659118,158.51240629844293,171.6120193575151,5.599104051820938,1344
5424,51,1,BA,-50.60521187517854,-76.99316178207681,129.523522217214,158.95023509792583,5.748263351440409,1344
5425,52,1,BA,-48.51362328063942,-77.46013272013693,148.0987564254494,174.0312772452171,5.86147553791861,1344
5426,53,1,BA,-128.92926507590045,-94.42944814973131,144.77106628660044,215.63473213894338,5.733671282526707,1344
5427,54,1,BA,-59.22565315366311,-101.7751086866321,221.52196516872573,250.87413535848592,5.659720862000098,1344
5428,55,1,BA,22.66674332886261,-31.002925814912214,80.60871108039133,89.29012803363814,5.526569145475857,1344
5429,56,1,BA,5.900270071702864,-19.579755935270928,128.65450324340708,130.26957140564966,5.729470012931056,1344
5430,57,1,BA,-13.683966271542635,-28.631108783300746,79.58541429124479,85.67864080966147,5.584859624735801,1344
5431,58,1,BA,-49.66597453256006,-31.77354053996858,107.90121478895583,122.95909505866702,5.668988448152677,1344
5432,59,1,BA,13.994399730259506,39.16755215716027,152.09295655219225,157.6775437358827,5.647401269016225,1344
