,time,center,order,type,iter
5703,172,3,2.587574509302577,PW,2
5704,172,4,4.4851186274779735,PW,2
5705,172,5,1.864921325226554,PW,2
5706,172,6,6.257296565965857,PW,2
5707,172,7,7.697457472105362,PW,2
5708,172,8,8.535678010700005,PW,2
5709,172,9,1.5816091954023008,PW,2
5710,173,0,10.70389249952855,PW,2
5711,173,1,7.213688177973907,PW,2
5712,173,2,1.1991231419802801,PW,2
5713,173,3,2.074427951149339,PW,2
5714,173,4,0.5314215985356938,PW,2
5715,173,5,0.03056531627959913,PW,2
5716,173,6,7.792817969701195,PW,2
5717,173,7,5.370335380255085,PW,2
5718,173,8,5.222905600596404,PW,2
5719,173,9,5.710371819960869,PW,2
5720,174,0,1.6463936122738385,PW,2
5721,174,1,6.404559174663241,PW,2
5722,174,2,1.448009312369254,PW,2
5723,174,3,5.389997173200804,PW,2
5724,174,4,0.0,PW,2
5725,174,5,3.2685810810810736,PW,2
5726,174,6,4.627121989735488,PW,2
5727,174,7,14.236685942331903,PW,2
5728,174,8,9.915910522813281,PW,2
5729,174,9,5.070422535211273,PW,2
5730,175,0,6.281388973238957,PW,2
5731,175,1,0.2818203143326343,PW,2
5732,175,2,3.627586206896545,PW,2
5733,175,3,1.0951417841307602,PW,2
5734,175,4,1.8411108906965978,PW,2
5735,175,5,0.6763111254124254,PW,2
5736,175,6,2.111624259323796,PW,2
5737,175,7,5.091287091287093,PW,2
5738,175,8,12.64049567571457,PW,2
5739,175,9,9.634959565044635,PW,2
5740,176,0,7.503885003885031,PW,2
5741,176,1,7.174784562367975,PW,2
5742,176,2,1.1758708242889,PW,2
5743,176,3,5.557982924713524,PW,2
5744,176,4,7.639825222284925,PW,2
5745,176,5,7.308886870478588,PW,2
5746,176,6,1.3709871716781592,PW,2
5747,176,7,5.811976530042401,PW,2
5748,176,8,10.689882724708117,PW,2
5749,176,9,0.4801132218569997,PW,2
5750,177,0,0.5429671000140708,PW,2
5751,177,1,3.8933333333333344,PW,2
5752,177,2,13.32133462394522,PW,2
5753,177,3,2.2851889307713584,PW,2
5754,177,4,5.751308514273298,PW,2
5755,177,5,2.469148936170214,PW,2
5756,177,6,0.6673143411398366,PW,2
5757,177,7,10.160845543891305,PW,2
5758,177,8,13.671556942377372,PW,2
5759,177,9,5.2212450748621,PW,2
5760,178,0,1.5437394962598443,PW,2
5761,178,1,0.47806388272260847,PW,2
5762,178,2,12.321745836422345,PW,2
5763,178,3,4.592402321854372,PW,2
5764,178,4,11.833895072282884,PW,2
5765,178,5,3.6255102040816283,PW,2
5766,178,6,6.0826335344030555,PW,2
5767,178,7,16.281924510966522,PW,2
5768,178,8,36.4756475237491,PW,2
5769,178,9,10.035425888665326,PW,2
5770,179,0,6.841184459140294,PW,2
5771,179,1,5.907657657657655,PW,2
5772,179,2,16.229043272487655,PW,2
5773,179,3,0.20706809968554296,PW,2
5774,179,4,13.34912494312684,PW,2
5775,179,5,3.1922100249323506,PW,2
5776,179,6,1.9679291469725042,PW,2
5777,179,7,6.524999999999999,PW,2
5778,179,8,5.291067538126363,PW,2
5779,179,9,0.2967977269262718,PW,2
5780,180,0,7.548986486486488,PW,2
5781,180,1,5.697258409488626,PW,2
5782,180,2,12.408599733206506,PW,2
5783,180,3,5.481373061304051,PW,2
5784,180,4,7.266302736240515,PW,2
5785,180,5,4.861345739224447,PW,2
5786,180,6,2.437902187902182,PW,2
5787,180,7,10.557671605454857,PW,2
5788,180,8,3.4050325463907436,PW,2
5789,180,9,3.611617933873621,PW,2
5790,181,0,8.651006711409401,PW,2
5791,181,1,2.1107073804911245,PW,2
5792,181,2,15.058724269168799,PW,2
5793,181,3,5.9165517241379355,PW,2
5794,181,4,3.8309219858155856,PW,2
5795,181,5,5.517006802721092,PW,2
5796,181,6,4.275293095961805,PW,2
5797,181,7,15.0082852070164,PW,2
5798,181,8,16.769542360199136,PW,2
5799,181,9,9.112838052944536,PW,2
5800,182,0,4.878537569812735,PW,2
5801,182,1,1.9561371677401773,PW,2
5802,182,2,0.5601137561069205,PW,2
5803,182,3,6.5405741529814065,PW,2
5804,182,4,2.3148299319727954,PW,2
5805,182,5,3.4047464647563856,PW,2
5806,182,6,0.49636427493274127,PW,2
5807,182,7,3.734927420237831,PW,2
5808,182,8,7.834302987727639,PW,2
5809,182,9,0.8399807089462392,PW,2
5810,183,0,2.3696344828194142,PW,2
5811,183,1,0.6663011695906462,PW,2
5812,183,2,3.225794427359993,PW,2
5813,183,3,3.676588141251699,PW,2
5814,183,4,2.3714570514905873,PW,2
5815,183,5,1.8932272563329064,PW,2
5816,183,6,5.4465907481445015,PW,2
5817,183,7,8.301665062840804,PW,2
5818,183,8,11.297894117707934,PW,2
5819,183,9,0.4824279641001432,PW,2
5820,184,0,0.5961985633414244,PW,2
5821,184,1,5.155886524822684,PW,2
5822,184,2,7.419428231089938,PW,2
5823,184,3,3.9201904182310017,PW,2
5824,184,4,2.5184393812183004,PW,2
5825,184,5,0.9496300800648712,PW,2
5826,184,6,4.249191282694799,PW,2
5827,184,7,0.0,PW,2
5828,184,8,7.004473013281745,PW,2
5829,184,9,5.682127659574467,PW,2
5830,185,0,3.3423450350675807,PW,2
5831,185,1,3.375635669585307,PW,2
5832,185,2,3.7465734265734207,PW,2
5833,185,3,4.808052496360862,PW,2
5834,185,4,0.6177841209042576,PW,2
5835,185,5,5.648052080599534,PW,2
5836,185,6,3.947399050944578,PW,2
5837,185,7,10.827482131801656,PW,2
5838,185,8,4.206065759637187,PW,2
5839,185,9,9.42908163779449,PW,2
5840,186,0,8.096115528514488,PW,2
5841,186,1,13.513970449581077,PW,2
5842,186,2,6.2851985687208405,PW,2
5843,186,3,0.7150430721000625,PW,2
5844,186,4,5.588699437692714,PW,2
5845,186,5,9.157778453544765,PW,2
5846,186,6,5.063147973704878,PW,2
5847,186,7,12.525610909891544,PW,2
5848,186,8,3.1258482786052255,PW,2
5849,186,9,1.7264358266107998,PW,2
5850,187,0,6.646639075210514,PW,2
5851,187,1,9.08346793313145,PW,2
5852,187,2,0.5972222222222143,PW,2
5853,187,3,1.519191671114175,PW,2
5854,187,4,7.401788742894407,PW,2
5855,187,5,5.583785259538686,PW,2
5856,187,6,7.532103610675034,PW,2
5857,187,7,3.2291187739463574,PW,2
5858,187,8,7.523196347031965,PW,2
5859,187,9,4.981058581714269,PW,2
5860,188,0,3.0404007455731588,PW,2
5861,188,1,13.831348459144657,PW,2
5862,188,2,2.674701986754961,PW,2
5863,188,3,0.07179248213730105,PW,2
5864,188,4,6.190720656182851,PW,2
5865,188,5,7.788767123287677,PW,2
5866,188,6,8.631387712127282,PW,2
5867,188,7,15.574358935505082,PW,2
5868,188,8,3.1167645140247853,PW,2
5869,188,9,2.877010088235666,PW,2
5870,189,0,1.1486486486486491,PW,2
5871,189,1,4.338229107310781,PW,2
5872,189,2,1.4248483177054592,PW,2
5873,189,3,2.680459770114936,PW,2
5874,189,4,1.647479658366299,PW,2
5875,189,5,5.395717827360819,PW,2
5876,189,6,2.707452329778631,PW,2
5877,189,7,3.283345349675563,PW,2
5878,189,8,6.7749957875330775,PW,2
5879,189,9,2.4467163577759896,PW,2
5880,190,0,4.919848326809017,PW,2
5881,190,1,6.68928313749743,PW,2
5882,190,2,7.4754318529153,PW,2
5883,190,3,7.462574506369695,PW,2
5884,190,4,12.683428497907656,PW,2
5885,190,5,13.286332600062849,PW,2
5886,190,6,5.061714047471719,PW,2
5887,190,7,7.841242904587018,PW,2
5888,190,8,20.465070280143767,PW,2
5889,190,9,3.1539540894186704,PW,2
5890,191,0,3.6962254271978736,PW,2
5891,191,1,9.99402814685575,PW,2
5892,191,2,7.406877830807801,PW,2
5893,191,3,3.7518421052631545,PW,2
5894,191,4,8.543988627350096,PW,2
5895,191,5,5.166397652237713,PW,2
5896,191,6,0.41443373611875245,PW,2
5897,191,7,5.600819727696056,PW,2
5898,191,8,11.022422451055174,PW,2
5899,191,9,5.841544177625366,PW,2
5900,192,0,2.472148050199138,PW,2
5901,192,1,11.538718399775153,PW,2
5902,192,2,7.585944276943663,PW,2
5903,192,3,1.7459117426580342,PW,2
5904,192,4,3.372330734399707,PW,2
5905,192,5,17.147248899047455,PW,2
5906,192,6,11.612221127698445,PW,2
5907,192,7,15.122779796134441,PW,2
5908,192,8,4.07893990929705,PW,2
5909,192,9,2.2162698412698507,PW,2
5910,193,0,6.356901620067651,PW,2
5911,193,1,3.847299768107227,PW,2
5912,193,2,12.079300661989732,PW,2
5913,193,3,1.2604875283446724,PW,2
5914,193,4,2.9220710796053257,PW,2
5915,193,5,10.061987151736382,PW,2
5916,193,6,8.254613233923576,PW,2
5917,193,7,18.5371111920324,PW,2
5918,193,8,16.741555680243113,PW,2
5919,193,9,7.2631328511610125,PW,2
5920,194,0,0.5046626792719842,PW,2
5921,194,1,4.088226950354613,PW,2
5922,194,2,4.567288110861413,PW,2
5923,194,3,2.8447051273313804,PW,2
5924,194,4,0.19979161593186134,PW,2
5925,194,5,2.5583993597438948,PW,2
5926,194,6,8.75455848946357,PW,2
5927,194,7,11.233245838742388,PW,2
5928,194,8,11.813277265993573,PW,2
5929,194,9,13.859170246920808,PW,2
5930,195,0,3.631140350877196,PW,2
5931,195,1,1.4384159236171463,PW,2
5932,195,2,7.233571409593307,PW,2
5933,195,3,6.712655239935278,PW,2
5934,195,4,6.845980334662597,PW,2
5935,195,5,5.08185140722955,PW,2
5936,195,6,3.2087982939046755,PW,2
5937,195,7,10.693199735146036,PW,2
5938,195,8,20.598499052784035,PW,2
5939,195,9,6.006023511124061,PW,2
5940,196,0,2.6211494252873564,PW,2
5941,196,1,17.56724473590537,PW,2
5942,196,2,12.168973283628445,PW,2
5943,196,3,18.904881056645483,PW,2
5944,196,4,7.727822580645153,PW,2
5945,196,5,4.285614180306794,PW,2
5946,196,6,5.463889521355959,PW,2
5947,196,7,20.223559333904177,PW,2
5948,196,8,21.3088276099246,PW,2
5949,196,9,15.969249588227267,PW,2
5950,197,0,9.081632653061225,PW,2
5951,197,1,2.1181993364721805,PW,2
5952,197,2,7.146141215106731,PW,2
5953,197,3,5.407692570003302,PW,2
5954,197,4,6.9699513919575855,PW,2
5955,197,5,7.599054918771159,PW,2
5956,197,6,1.7732541431171596,PW,2
5957,197,7,10.473368719213408,PW,2
5958,197,8,2.0454331812946798,PW,2
5959,197,9,14.840996168582365,PW,2
5960,198,0,3.1744568272332376,PW,2
5961,198,1,11.688822560987868,PW,2
5962,198,2,5.212297628367537,PW,2
