,time,center,coords,radius,order,type,iter,n_cells,speed
5720,73,8,"[8, 20, 57]",7,5.3463967200182765,GM,0,9.0,3.802301685295573
5721,73,9,"[7, 37, 58]",7,23.980773451900205,GM,0,12.0,3.1306605952732767
5722,73,10,"[48, 7, 10]",7,27.097397478176084,GM,0,12.0,3.231558577932414
5723,73,11,"[58, 58, 56]",7,10.802065538126982,GM,0,6.0,3.2336610385510247
5724,73,12,"[7, 7, 58]",7,16.74190531690529,GM,0,9.0,4.121211585609073
5725,73,13,"[20, 7, 29]",6,11.83457969599182,GM,0,9.0,2.779791354512205
5726,73,14,"[58, 7, 52]",6,31.90687688498071,GM,0,18.0,4.333702844381119
5727,73,15,"[30, 58, 11]",6,5.036090398625873,GM,0,9.0,2.2964880410031046
5728,73,16,"[41, 24, 29]",6,4.556899717177913,GM,0,12.0,2.471091282102923
5729,73,17,"[6, 6, 22]",6,11.339744226563788,GM,0,9.0,3.3808066501151006
5730,73,18,"[14, 38, 6]",6,1.9366776937132073,GM,0,12.0,2.6190085887760746
5731,73,19,"[23, 6, 6]",6,11.449612376882214,GM,0,12.0,3.1521260009585412
5732,73,20,"[8, 59, 6]",6,28.279154607318777,GM,0,12.0,3.8672062846932307
5733,74,0,"[53, 12, 35]",12,17.402378561397434,GM,0,12.0,3.029940964540602
5734,74,1,"[14, 44, 46]",12,1.0701384873684674,GM,0,9.0,2.4974519200377916
5735,74,2,"[35, 20, 41]",9,4.004813547107531,GM,0,9.0,2.4902688526891157
5736,74,3,"[51, 51, 15]",8,22.851838498381028,GM,0,9.0,2.9609219287410786
5737,74,4,"[56, 25, 20]",8,5.409728940210165,GM,0,9.0,3.0932476722801403
5738,74,5,"[26, 48, 18]",8,13.48268754811403,GM,0,12.0,2.3392682559463487
5739,74,6,"[28, 49, 40]",7,10.057351490936284,GM,0,9.0,2.2415224185003035
5740,74,7,"[57, 54, 31]",7,12.057506682005013,GM,0,9.0,2.1932099753739482
5741,74,8,"[8, 20, 57]",7,6.619589878690292,GM,0,9.0,2.840658417805498
5742,74,9,"[7, 37, 58]",7,25.21238428707514,GM,0,9.0,3.1495289394350436
5743,74,10,"[48, 7, 10]",7,18.102676466395636,GM,0,12.0,2.982835270112447
5744,74,11,"[58, 58, 56]",7,9.90406933491095,GM,0,15.0,3.3093270755266686
5745,74,12,"[7, 7, 58]",7,38.3690978237275,GM,0,15.0,4.183408914989835
5746,74,13,"[20, 7, 29]",6,0.33966688775087306,GM,0,9.0,2.5008912893682984
5747,74,14,"[58, 7, 52]",6,19.150757899553355,GM,0,9.0,4.03158052583318
5748,74,15,"[30, 58, 11]",6,9.12932481290619,GM,0,15.0,2.1941527895309645
5749,74,16,"[41, 24, 29]",6,13.264064330725958,GM,0,15.0,2.4215727486781105
5750,74,17,"[6, 6, 22]",6,2.268052152974235,GM,0,9.0,2.7443629097932796
5751,74,18,"[14, 38, 6]",6,0.9699530519289539,GM,0,9.0,2.57871626322949
5752,74,19,"[23, 6, 6]",6,0.5286567358337635,GM,0,6.0,2.2981138308059292
5753,74,20,"[8, 59, 6]",6,8.125872338869106,GM,0,15.0,2.5807124836389006
5754,75,0,"[53, 12, 35]",12,14.222049083685171,GM,0,9.0,3.8503032057626405
5755,75,1,"[14, 44, 46]",12,16.185706687144332,GM,0,12.0,2.687048135958547
5756,75,2,"[35, 20, 41]",9,6.014319120177184,GM,0,9.0,1.8399289504193956
5757,75,3,"[51, 51, 15]",8,15.663011803600583,GM,0,9.0,2.7423021704040136
5758,75,4,"[56, 25, 20]",8,1.8587895350712245,GM,0,9.0,3.1667076800091443
5759,75,5,"[26, 48, 18]",8,8.199405379622782,GM,0,12.0,2.1145443524412175
5760,75,6,"[28, 49, 40]",7,10.498314794302871,GM,0,9.0,2.7918106673617284
5761,75,7,"[57, 54, 31]",7,12.58647032546017,GM,0,6.0,2.593539967608436
5762,75,8,"[8, 20, 57]",7,9.120204739072753,GM,0,9.0,2.7791524627142983
5763,75,9,"[7, 37, 58]",7,23.42853230744342,GM,0,9.0,3.532785085997435
5764,75,10,"[48, 7, 10]",7,3.861508360323711,GM,0,6.0,2.5257752049877857
5765,75,11,"[58, 58, 56]",7,13.898836287684617,GM,0,9.0,3.5584191988994482
5766,75,12,"[7, 7, 58]",7,29.993686816170374,GM,0,15.0,3.8534233003892964
5767,75,13,"[20, 7, 29]",6,0.0,GM,0,0.0,
5768,75,14,"[58, 7, 52]",6,25.933013309804064,GM,0,18.0,3.7240766086894905
5769,75,15,"[30, 58, 11]",6,3.8016901098945937,GM,0,12.0,2.4595128399531774
5770,75,16,"[41, 24, 29]",6,0.8152320956264063,GM,0,9.0,3.0945329185514914
5771,75,17,"[6, 6, 22]",6,28.35539975572999,GM,0,15.0,3.364356414194655
5772,75,18,"[14, 38, 6]",6,7.956275601557692,GM,0,9.0,3.336304575357693
5773,75,19,"[23, 6, 6]",6,2.1211240227675603,GM,0,9.0,1.5768538439540027
5774,75,20,"[8, 59, 6]",6,17.885137954153635,GM,0,9.0,2.621044794955774
5775,76,0,"[53, 12, 35]",12,0.03526969550505221,GM,0,12.0,3.750964388470275
5776,76,1,"[14, 44, 46]",12,6.818924660313073,GM,0,12.0,2.6509801278550342
5777,76,2,"[35, 20, 41]",9,12.637580653897203,GM,0,12.0,2.3689348734049163
5778,76,3,"[51, 51, 15]",8,16.880840346392226,GM,0,12.0,2.954734663251045
5779,76,4,"[56, 25, 20]",8,9.560337347274455,GM,0,12.0,2.3953452842395357
5780,76,5,"[26, 48, 18]",8,14.662793165973284,GM,0,15.0,2.6650035812200445
5781,76,6,"[28, 49, 40]",7,16.18834653502455,GM,0,9.0,2.307893058693537
5782,76,7,"[57, 54, 31]",7,1.5100766778921155,GM,0,6.0,2.401041022707202
5783,76,8,"[8, 20, 57]",7,4.8548627428909015,GM,0,6.0,2.907975709736268
5784,76,9,"[7, 37, 58]",7,3.5349482117053554,GM,0,9.0,2.5114918557985595
5785,76,10,"[48, 7, 10]",7,3.3625975333500833,GM,0,3.0,1.8418323684872842
5786,76,11,"[58, 58, 56]",7,14.566020875602682,GM,0,15.0,3.64244139560392
5787,76,12,"[7, 7, 58]",7,22.06845002650998,GM,0,9.0,3.809073881138
5788,76,13,"[20, 7, 29]",6,6.212169271473023,GM,0,9.0,2.20836015397057
