,time,center,coords,radius,order,type,iter
257,23,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
258,23,5,"[48, 24, 7]",6,0.5555555555555556,ER,1
259,23,6,"[53, 22, 22]",6,0.6,ER,1
260,23,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
261,23,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
262,23,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
263,23,10,"[23, 59, 6]",6,0.1111111111111111,ER,1
264,24,0,"[51, 32, 48]",7,0.6666666666666666,ER,1
265,24,1,"[40, 32, 56]",7,0.5,ER,1
266,24,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
267,24,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
268,24,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
269,24,5,"[48, 24, 7]",6,0.16666666666666666,ER,1
270,24,6,"[53, 22, 22]",6,0.7777777777777778,ER,1
271,24,7,"[28, 38, 51]",6,0.5555555555555556,ER,1
272,24,8,"[48, 6, 55]",6,0.6666666666666666,ER,1
273,24,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
274,24,10,"[23, 59, 6]",6,0.06666666666666667,ER,1
275,25,0,"[51, 32, 48]",7,0.6666666666666666,ER,1
276,25,1,"[40, 32, 56]",7,0.0,ER,1
277,25,2,"[13, 58, 48]",7,0.06666666666666667,ER,1
278,25,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
279,25,4,"[47, 41, 30]",7,0.0,ER,1
280,25,5,"[48, 24, 7]",6,0.06666666666666667,ER,1
281,25,6,"[53, 22, 22]",6,1.0,ER,1
282,25,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
283,25,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
284,25,9,"[59, 45, 44]",6,0.0,ER,1
285,25,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
286,26,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
287,26,1,"[40, 32, 56]",7,0.2,ER,1
288,26,2,"[13, 58, 48]",7,0.0,ER,1
289,26,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
290,26,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
291,26,5,"[48, 24, 7]",6,0.16666666666666666,ER,1
292,26,6,"[53, 22, 22]",6,0.7333333333333333,ER,1
293,26,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
294,26,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
295,26,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
296,26,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
297,27,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
298,27,1,"[40, 32, 56]",7,0.4666666666666667,ER,1
299,27,2,"[13, 58, 48]",7,0.1111111111111111,ER,1
300,27,3,"[25, 13, 7]",7,0.5,ER,1
301,27,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
302,27,5,"[48, 24, 7]",6,0.2,ER,1
303,27,6,"[53, 22, 22]",6,1.0,ER,1
304,27,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
305,27,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
306,27,9,"[59, 45, 44]",6,0.5555555555555556,ER,1
307,27,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
308,28,0,"[51, 32, 48]",7,0.6666666666666666,ER,1
309,28,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
310,28,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
311,28,3,"[25, 13, 7]",7,0.16666666666666666,ER,1
312,28,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
313,28,5,"[48, 24, 7]",6,0.1111111111111111,ER,1
314,28,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
315,28,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
316,28,8,"[48, 6, 55]",6,0.1111111111111111,ER,1
317,28,9,"[59, 45, 44]",6,0.2,ER,1
318,28,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
319,29,0,"[51, 32, 48]",7,0.5,ER,1
320,29,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
321,29,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
322,29,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
323,29,4,"[47, 41, 30]",7,0.06666666666666667,ER,1
324,29,5,"[48, 24, 7]",6,0.16666666666666666,ER,1
325,29,6,"[53, 22, 22]",6,0.6666666666666666,ER,1
326,29,7,"[28, 38, 51]",6,0.7777777777777778,ER,1
327,29,8,"[48, 6, 55]",6,0.1111111111111111,ER,1
328,29,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
329,29,10,"[23, 59, 6]",6,0.5555555555555556,ER,1
330,30,0,"[51, 32, 48]",7,0.16666666666666666,ER,1
331,30,1,"[40, 32, 56]",7,0.5555555555555556,ER,1
332,30,2,"[13, 58, 48]",7,0.5555555555555556,ER,1
333,30,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
334,30,4,"[47, 41, 30]",7,0.06666666666666667,ER,1
335,30,5,"[48, 24, 7]",6,0.16666666666666666,ER,1
336,30,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
337,30,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
338,30,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
339,30,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
340,30,10,"[23, 59, 6]",6,0.0,ER,1
341,31,0,"[51, 32, 48]",7,0.16666666666666666,ER,1
342,31,1,"[40, 32, 56]",7,0.2,ER,1
343,31,2,"[13, 58, 48]",7,0.1111111111111111,ER,1
344,31,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
345,31,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
346,31,5,"[48, 24, 7]",6,0.5,ER,1
347,31,6,"[53, 22, 22]",6,0.5555555555555556,ER,1
348,31,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
349,31,8,"[48, 6, 55]",6,0.5,ER,1
350,31,9,"[59, 45, 44]",6,0.0,ER,1
351,31,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
352,32,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
353,32,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
354,32,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
355,32,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
356,32,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
357,32,5,"[48, 24, 7]",6,0.06666666666666667,ER,1
358,32,6,"[53, 22, 22]",6,1.0,ER,1
359,32,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
360,32,8,"[48, 6, 55]",6,0.5,ER,1
361,32,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
362,32,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
363,33,0,"[51, 32, 48]",7,0.06666666666666667,ER,1
364,33,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
365,33,2,"[13, 58, 48]",7,0.0,ER,1
366,33,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
367,33,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
368,33,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
369,33,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
370,33,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
371,33,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
372,33,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
373,33,10,"[23, 59, 6]",6,0.0,ER,1
374,34,0,"[51, 32, 48]",7,0.0,ER,1
375,34,1,"[40, 32, 56]",7,0.16666666666666666,ER,1
376,34,2,"[13, 58, 48]",7,0.5,ER,1
377,34,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
378,34,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
