,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
1876,85,1,BA,353.244725180379,407.5532728727517,-487.075495391406,[52.37142857  7.72857143 79.68571429],[53.09395973  3.70469799 79.0738255 ],[55.51408451 -0.19014085 80.45070423],1344
1877,86,1,BA,228.4892179695799,335.9558297233781,-390.266167726825,[ 38.25384615 109.27692308 -21.06153846],[ 37.05691057 109.6504065  -20.38211382],[ 37.2        109.96153846 -20.68461538],1344
1878,87,1,BA,62.5789235838084,323.58159192809075,-393.6699790230101,[33.80597015 97.7761194  67.99253731],[ 36.15037594 102.03759398  68.33082707],[ 33.00671141 105.73825503  68.62416107],1344
1879,88,1,BA,296.9251037218425,312.8518533970904,-363.06456280020996,[-48.85714286  81.44217687 194.7414966 ],[-50.07638889  79.27083333 197.61805556],[-53.10958904  76.44520548 197.00684932],1344
1880,89,1,BA,162.99011894111317,445.44511417476303,-386.00370599954704,[-40.16326531 -49.49659864  68.93877551],[-38.88194444 -48.53472222  65.68055556],[-37.46938776 -53.60544218  64.12244898],1344
1881,90,1,BA,-15.333714935583302,457.7312693008149,-437.03015515904525,[117.67175573 158.45038168 107.97709924],[113.86619718 156.88732394 104.61971831],[112.23972603 152.86986301 103.45205479],1344
1882,91,1,BA,190.43919011575795,409.1327643501709,-686.165364878042,[-1.29458225 25.069812   61.18791946],[-1.99389495 21.67113095 59.68493151],[-0.53472222 20.27777778 56.58333333],1344
1883,92,1,BA,244.39479470887537,329.1871232870633,-579.4065751833405,[ 90.56692913  41.12598425 137.19685039],[ 87.32352941  39.32352941 136.46323529],[ 84.50714286  39.37142857 134.77857143],1344
1884,93,1,BA,350.68226071342673,175.75875871641176,-480.83823604224153,[ 81.40298507  98.67910448 102.86567164],[ 85.83443709  98.60927152 102.05298013],[ 89.49640288 100.5323741   99.5323741 ],1344
1885,94,1,BA,311.9010287874698,242.10462573380326,-572.4216302459456,[ 57.71527778 -56.9375     198.75      ],[ 56.13986014 -54.78321678 197.93006993],[ 56.35664336 -51.99300699 197.11888112],1344
1886,95,1,BA,299.9464611498296,428.5500521263498,-561.2701947565148,[ 46.79166667 -44.07638889  73.17361111],[ 44.9862069  -43.82758621  69.73103448],[ 47.21527778 -45.41666667  66.22222222],1344
1887,96,1,BA,291.45153458414177,481.63408944826193,-539.9989665284374,[-19.39041096 128.55479452 -21.34246575],[-16.96376812 127.88405797 -19.76086957],[-13.57823129 127.27210884 -22.62585034],1344
1888,97,1,BA,277.87100779121977,486.5304437018229,-426.77299740622504,[-12.70138889 -34.93055556 -46.53472222],[-12.92857143 -34.46428571 -42.87857143],[-13.73972603 -35.45205479 -39.5       ],1344
1889,98,1,BA,210.05071101280825,466.9596914742364,-387.11831684037236,[ 41.17021277  40.91489362 136.75886525],[ 39.47727273  39.17424242 136.76515152],[ 40.32835821  39.67910448 137.05970149],1344
1890,99,1,BA,346.19786110473774,457.2207052868814,-463.4343228550085,[-50.60839161  66.8951049  159.48251748],[-51.44666667  66.43333333 154.40666667],[-54.24822695  65.9929078  149.07801418],1344
1891,100,1,BA,265.1155030384631,357.5985917788687,-343.5187718240346,[-11.69444444  10.49305556 229.70138889],[-11.53246753   6.62987013 227.44155844],[ -9.84827586   5.37241379 223.8       ],1344
1892,101,1,BA,258.91192865479974,477.430728936634,-260.7382030814478,[-20.37062937 -39.76923077  -9.00699301],[-17.32638889 -41.54166667  -5.09027778],[-13.41059603 -41.90728477  -1.55629139],1344
1893,102,1,BA,300.0319088282556,579.8267996866363,-486.55231381762076,[151.64539007  89.70212766  34.85815603],[152.98550725  89.53623188  35.33333333],[151.12162162  86.79054054  33.71621622],1344
1894,103,1,BA,400.963462616803,288.35778982775486,-337.3221414275755,[ 66.54285714 -74.10714286 130.9       ],[ 67.26666667 -75.01481481 134.81481481],[ 63.32352941 -74.18382353 135.83088235],1344
1895,104,1,BA,301.6539980723553,310.69037088598606,-276.29928840682965,[  70.14615385 -109.81538462  134.95384615],[  73.56050955 -112.77070064  129.6433121 ],[  75.32167832 -113.38461538  127.79020979],1344
1896,105,1,BA,407.00197211536954,276.78122293711897,-639.6132430515135,[  2.79710145  32.39130435 180.53623188],[  1.58695652  34.98550725 183.47101449],[  2.50746269  33.78358209 184.58208955],1344
1897,106,1,BA,273.9244987024921,421.8739731372161,-604.467315347129,[33.88157895 88.86842105 99.51315789],[32.19148936 91.58865248 96.58156028],[27.85034014 89.23809524 96.65986395],1344
1898,107,1,BA,443.29808609285925,201.3862586820796,-648.0219984772607,[ 51.2173913  -32.44202899 131.92028986],[ 54.10791367 -34.65467626 135.20143885],[ 57.4084507  -35.55633803 133.65492958],1344
1899,108,1,BA,311.18671832205234,315.9348484076825,-701.2476419007851,[118.77241379 -28.64827586 127.63448276],[120.96644295 -27.03355705 131.40268456],[116.8943662  -29.26056338 133.55633803],1344
1900,109,1,BA,265.36038940775904,96.47790830300883,-698.2961634448053,[  0.44444444 -48.875       92.74305556],[  5.27536232 -47.55072464  92.78985507],[  6.5942029  -44.57971014  93.97101449],1344
1901,110,1,BA,113.00386832348491,70.19803470714258,-786.3982711001727,[147.64084507  26.09859155 173.29577465],[146.46043165  27.57553957 174.11510791],[146.70588235  27.64705882 174.5       ],1344
1902,111,1,BA,171.58257901277693,214.39783417005387,-841.5808035347515,[28.75524476 62.8951049  59.57342657],[31.91780822 62.1369863  57.85616438],[32.0625     56.70138889 55.61111111],1344
