,time,center,coords,length,order,type,iter,n_cells,speed
17303,27,20,"[38.5, 19.5, 6.5]",19.87460691435179,3.040690204543047,GM,1,12.0,2.0398548271365993
17304,28,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.3174803879441654,GM,1,6.0,0.5688294437647853
17305,28,1,"[46.0, 57.0, 29.5]",20.322401432901575,10.624505661694101,GM,1,18.0,2.3919665646285555
17306,28,2,"[48.5, 13.0, 53.0]",20.223748416156685,7.347950447032773,GM,1,9.0,2.1281802139973394
17307,28,3,"[16.0, 17.0, 11.0]",20.199009876724155,3.0801459065488075,GM,1,9.0,2.1804592452890006
17308,28,4,"[40.0, 6.5, 29.5]",20.149441679609886,3.8245362882961302,GM,1,9.0,2.1899155253165343
17309,28,5,"[46.0, 42.5, 3.0]",20.12461179749811,2.5404163479670956,GM,1,6.0,3.1806164128461205
17310,28,6,"[41.5, 31.0, 48.0]",20.12461179749811,4.970762290786567,GM,1,12.0,1.5155984892233114
17311,28,7,"[40.0, 29.0, 59.0]",20.09975124224178,6.281716695609042,GM,1,3.0,2.28803440006615
17312,28,8,"[4.0, 49.5, 45.5]",20.049937655763422,12.249246189319813,GM,1,12.0,2.4262032393107877
17313,28,9,"[41.5, 17.0, 10.5]",20.049937655763422,10.89613871927665,GM,1,12.0,1.8192440730057815
17314,28,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.8530980621641362,GM,1,9.0,0.879174838092851
17315,28,11,"[34.0, 54.0, 29.5]",20.024984394500787,10.630882340819113,GM,1,15.0,1.662808997392265
17316,28,12,"[47.5, 6.0, 19.0]",20.024984394500787,5.144400253897416,GM,1,9.0,2.478212385433284
17317,28,13,"[23.0, 8.0, 54.0]",20.0,1.2765476447092254,GM,1,12.0,2.052513805255272
17318,28,14,"[42.5, 27.5, 12.0]",19.949937343260004,9.246128580059349,GM,1,9.0,2.6433816399211247
17319,28,15,"[42.0, 20.5, 21.5]",19.949937343260004,9.861602303093775,GM,1,18.0,2.0474136313371014
17320,28,16,"[3.5, 26.0, 35.5]",19.949937343260004,4.983406890881245,GM,1,9.0,1.6130154775061136
17321,28,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.11363636363637397,GM,1,3.0,0.704545454545458
17322,28,18,"[24.0, 39.0, 19.0]",19.8997487421324,1.4370963110728923,GM,1,9.0,1.531178646570584
17323,28,19,"[48.5, 14.5, 7.5]",19.87460691435179,12.588877730953904,GM,1,12.0,1.4395738461377483
17324,28,20,"[38.5, 19.5, 6.5]",19.87460691435179,3.3847649950726293,GM,1,12.0,2.0026181060410266
17325,29,0,"[18.5, 28.5, 45.5]",20.46948949045872,0.17334392177229674,GM,1,9.0,0.6032225674646455
17326,29,1,"[46.0, 57.0, 29.5]",20.322401432901575,2.196819909875785,GM,1,15.0,1.5588923130452068
17327,29,2,"[48.5, 13.0, 53.0]",20.223748416156685,4.45498271050198,GM,1,12.0,1.4252148759192689
17328,29,3,"[16.0, 17.0, 11.0]",20.199009876724155,9.601068133512335,GM,1,18.0,1.329336963073502
17329,29,4,"[40.0, 6.5, 29.5]",20.149441679609886,0.04507349968758945,GM,1,12.0,1.9105344412087983
17330,29,5,"[46.0, 42.5, 3.0]",20.12461179749811,12.435979437387829,GM,1,6.0,2.0726632395646383
17331,29,6,"[41.5, 31.0, 48.0]",20.12461179749811,13.533269836634929,GM,1,15.0,1.7109055827453006
17332,29,7,"[40.0, 29.0, 59.0]",20.09975124224178,4.040614317056992,GM,1,3.0,3.202476316818879
17333,29,8,"[4.0, 49.5, 45.5]",20.049937655763422,2.47561065383357,GM,1,15.0,1.7817073551370015
17334,29,9,"[41.5, 17.0, 10.5]",20.049937655763422,7.616636485316704,GM,1,15.0,1.709835157912686
17335,29,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.9553228871741624,GM,1,6.0,0.7430362038537766
17336,29,11,"[34.0, 54.0, 29.5]",20.024984394500787,0.2590839197622117,GM,1,12.0,1.7261951282957835
17337,29,12,"[47.5, 6.0, 19.0]",20.024984394500787,0.3130635709627967,GM,1,15.0,2.202546420280005
17338,29,13,"[23.0, 8.0, 54.0]",20.0,12.22450704928049,GM,1,12.0,2.105156094326959
17339,29,14,"[42.5, 27.5, 12.0]",19.949937343260004,8.387049415097216,GM,1,9.0,2.1232141812719627
17340,29,15,"[42.0, 20.5, 21.5]",19.949937343260004,13.885616818868911,GM,1,21.0,2.087194303445478
17341,29,16,"[3.5, 26.0, 35.5]",19.949937343260004,5.1868774437949865,GM,1,9.0,1.5480182297929166
17342,29,17,"[36.0, 44.0, 1.5]",19.924858845171276,2.412539474700509,GM,1,6.0,1.6393058355206165
17343,29,18,"[24.0, 39.0, 19.0]",19.8997487421324,5.178582192928275,GM,1,12.0,1.7435039215427324
17344,29,19,"[48.5, 14.5, 7.5]",19.87460691435179,2.028508632733974,GM,1,9.0,1.657554779307519
17345,29,20,"[38.5, 19.5, 6.5]",19.87460691435179,0.9912345985280666,GM,1,6.0,2.0140208522836907
17346,30,0,"[18.5, 28.5, 45.5]",20.46948949045872,0.5465741435358495,GM,1,6.0,0.6500574007138104
17347,30,1,"[46.0, 57.0, 29.5]",20.322401432901575,14.547757940913193,GM,1,15.0,2.329199026755883
17348,30,2,"[48.5, 13.0, 53.0]",20.223748416156685,4.168624471065002,GM,1,6.0,1.4763866539523722
17349,30,3,"[16.0, 17.0, 11.0]",20.199009876724155,11.211384474832833,GM,1,12.0,1.6548224938519447
17350,30,4,"[40.0, 6.5, 29.5]",20.149441679609886,0.18980959258243502,GM,1,9.0,1.736061087140519
17351,30,5,"[46.0, 42.5, 3.0]",20.12461179749811,2.9455486542442983,GM,1,3.0,1.6210489993098658
17352,30,6,"[41.5, 31.0, 48.0]",20.12461179749811,0.0588352495310005,GM,1,21.0,1.978009503914048
17353,30,7,"[40.0, 29.0, 59.0]",20.09975124224178,1.7483024222154881,GM,1,3.0,1.3690246951116478
17354,30,8,"[4.0, 49.5, 45.5]",20.049937655763422,1.2999748497793533,GM,1,15.0,2.0424079881149724
17355,30,9,"[41.5, 17.0, 10.5]",20.049937655763422,4.085183201248995,GM,1,9.0,1.6538685078900985
17356,30,10,"[26.5, 27.5, 14.0]",20.049937655763422,0.5546711566916684,GM,1,6.0,1.1168358422185658
17357,30,11,"[34.0, 54.0, 29.5]",20.024984394500787,5.039941564929904,GM,1,12.0,1.7436153475009253
17358,30,12,"[47.5, 6.0, 19.0]",20.024984394500787,14.148409398305482,GM,1,9.0,2.8304866206427124
17359,30,13,"[23.0, 8.0, 54.0]",20.0,27.423981644068974,GM,1,15.0,2.5115121447908306
17360,30,14,"[42.5, 27.5, 12.0]",19.949937343260004,1.3895690143789707,GM,1,12.0,1.3322325066350498
17361,30,15,"[42.0, 20.5, 21.5]",19.949937343260004,9.534925120959706,GM,1,15.0,2.854640257543682
17362,30,16,"[3.5, 26.0, 35.5]",19.949937343260004,2.7170995550390185,GM,1,6.0,1.539828914236889
17363,30,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.4795127353266935,GM,1,3.0,0.3312415405438666
17364,30,18,"[24.0, 39.0, 19.0]",19.8997487421324,6.188964562645964,GM,1,15.0,1.424090666713382
17365,30,19,"[48.5, 14.5, 7.5]",19.87460691435179,1.685778367208158,GM,1,12.0,1.4477787530865658
17366,30,20,"[38.5, 19.5, 6.5]",19.87460691435179,1.7775194901676485,GM,1,9.0,2.399551670555883
17367,31,0,"[18.5, 28.5, 45.5]",20.46948949045872,0.7413750364537783,GM,1,6.0,0.38609823486116507
