,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
2565,177,0,GM,-3554.581255931375,3070.713152530152,3396.2118664404247,[ 450.12582781 -226.81402157 -513.41765274],[ 449.54940858 -230.67829188 -516.05194805],[ 453.07843137 -233.96078431 -513.38562092],1356
2566,178,0,GM,-3534.3893624460566,3004.7126531003255,3445.341384249803,[ 526.72077922 -261.2987013  -424.76623377],[ 530.77124183 -260.49019608 -425.07843137],[ 534.94193548 -259.48387097 -430.78064516],1356
2567,179,0,GM,-3519.97038818929,3029.8406548995226,3605.703066777896,[ 495.72972973 -272.14864865 -502.12162162],[ 497.85234899 -275.52348993 -502.04697987],[ 499.51612903 -277.16774194 -505.69032258],1356
2568,180,0,GM,-3709.3774787030748,3052.0043275626826,3457.770697829667,[ 479.63945578 -285.06122449 -510.00680272],[ 483.86754967 -282.54966887 -508.65562914],[ 481.54       -279.46666667 -508.1       ],1356
2569,181,0,GM,-3719.1639751647326,3150.2729360939065,3596.952137489092,[ 509.42038217 -319.92434224 -434.39404655],[ 514.02614379 -318.92399753 -432.39574586],[ 517.51315789 -316.80921053 -434.65789474],1356
2570,182,0,GM,-3623.3206003233263,3176.803645908559,3500.8814564007534,[ 419.79333333 -276.27333333 -422.62      ],[ 423.38509317 -274.36645963 -425.49689441],[ 425.         -271.36363636 -429.74675325],1356
2571,183,0,GM,-3658.0285236648115,3160.978564527523,3477.8566708844846,[ 445.84722222 -297.54861111 -487.99305556],[ 447.8        -292.69655172 -486.6       ],[ 447.3961039  -287.63636364 -489.25974026],1356
2572,184,0,GM,-3685.0268111558175,3002.059609084007,3407.8992461539588,[ 489.78231293 -239.17006803 -395.55782313],[ 492.11333333 -238.42       -391.89333333],[ 493.66883117 -242.40909091 -389.18831169],1356
2573,185,0,GM,-3537.1089043131433,2998.116417410837,3247.7520316033883,[ 517.94482759 -183.12413793 -450.52413793],[ 520.83108108 -184.70945946 -453.84459459],[ 525.17901235 -186.74691358 -455.97530864],1356
2574,186,0,GM,-3714.8235673493878,3060.7202507229626,3261.2922004088705,[ 495.26797386 -206.67973856 -585.96732026],[ 495.08666667 -206.54666667 -581.54666667],[ 497.72049689 -203.37267081 -577.57763975],1356
2575,187,0,GM,-3641.0146121847006,3159.2740044052393,3226.443574352641,[ 550.32236842 -262.95394737 -505.92105263],[ 547.21518987 -260.68987342 -502.44936709],[ 544.69127517 -257.52348993 -499.6442953 ],1356
2576,188,0,GM,-3597.7195585487243,3239.6660494749676,3143.9174868580512,[ 552.94078947 -234.30921053 -566.05263158],[ 554.94039735 -231.32450331 -564.39072848],[ 558.62328767 -227.03424658 -561.47260274],1356
2577,189,0,GM,-3537.443806403433,3195.014623931616,3150.778462254878,[ 471.75324675 -238.7987013  -341.84415584],[ 467.46666667 -238.12       -340.26      ],[ 463.55128205 -239.13461538 -337.05128205],1356
2578,190,0,GM,-3604.2464095927944,3317.781661501681,3216.218301141128,[ 582.73856209 -233.98039216 -382.19607843],[ 578.82781457 -239.76431372 -384.33591046],[ 566.92058189 -244.84515776 -385.0890411 ],1356
2579,191,0,GM,-3382.881208250846,3374.588400508982,3277.3139628588947,[ 472.27922078 -203.25974026 -544.12337662],[ 472.10322581 -199.6516129  -546.03225806],[ 477.37820513 -197.72435897 -542.52564103],1356
2580,192,0,GM,-3460.111511146384,3366.371276688002,3095.698155382881,[ 475.52903226 -242.89677419 -439.10322581],[ 474.10416667 -238.42361111 -437.04861111],[ 470.52980132 -234.64238411 -438.91390728],1356
2581,193,0,GM,-3470.689054718044,3423.0889515185077,3088.2036907697816,[ 497.11409396 -183.81879195 -555.30872483],[ 497.63636364 -187.7987013  -559.5974026 ],[ 499.32624113 -189.18439716 -563.14184397],1356
2582,194,0,GM,-3601.900542847079,3571.961662472494,3130.806918288946,[ 506.91558442 -219.08441558 -520.72077922],[ 511.1835443  -219.96202532 -523.15189873],[ 516.39333333 -223.17333333 -523.4       ],1356
2583,195,0,GM,-3664.081337965872,3585.639380065757,3059.370587359729,[ 554.15384615 -311.11888112 -458.82517483],[ 552.63513514 -316.48648649 -458.97297297],[ 552.67320261 -321.11764706 -457.41830065],1356
2584,196,0,GM,-3651.159342665254,3492.7768768514698,3246.1093360799305,[ 538.6        -259.93548387 -406.01290323],[ 536.02597403 -256.20779221 -407.63636364],[ 535.46938776 -253.14285714 -410.7414966 ],1356
2585,197,0,GM,-3777.8085497995803,3476.3705755748265,3105.6432028538825,[ 393.86524823 -245.65248227 -625.09219858],[ 389.47096774 -248.30967742 -623.0516129 ],[ 388.89189189 -251.57432432 -619.80405405],1356
2586,198,0,GM,-3799.999723765357,3530.3223995448725,3116.2727156790215,[ 474.86666667 -268.64666667 -553.06666667],[ 476.59731544 -268.80536913 -548.10067114],[ 481.83333333 -269.76       -547.86      ],1356
2587,0,2,PW,123.46437951069373,1.664904250589771,-486.3316310547067,[254.04320988 429.22839506 590.41358025],[256.46153846 432.96153846 586.44871795],[253.8757764  436.26086957 583.79503106],1327
2588,1,2,PW,357.95082822971364,81.23791302929735,-349.1183713294692,[303.09395973 503.54362416 540.9261745 ],[305.45679012 503.4691358  545.9382716 ],[301.46835443 506.67721519 547.03797468],1327
2589,2,2,PW,233.40562440803546,-152.59086251652656,-271.63258173007074,[348.06369427 358.33757962 397.48407643],[343.45859873 355.78980892 395.36305732],[339.48734177 352.2721519  394.89240506],1327
2590,3,2,PW,55.6353709035335,-126.84689444460312,-438.5413646215004,[325.78014184 410.04964539 497.56737589],[328.56774194 410.1483871  490.06451613],[329.21518987 406.17721519 487.55063291],1327
2591,4,2,PW,37.83519907023714,-340.36311580859734,-362.2918171533836,[314.91333333 458.66666667 431.09333333],[318.4        456.28       428.09333333],[322.46710526 456.31578947 430.875     ],1327
2592,5,2,PW,-132.5317443365833,-355.6586905514613,-685.8957570189266,[266.57051282 387.78205128 539.33333333],[270.62658228 385.00632911 537.13291139],[275.22077922 385.18831169 537.90909091],1327
2593,6,2,PW,-124.38608411111395,-432.67760986041793,-655.785125048509,[344.94520548 480.4109589  477.89041096],[341.72027972 481.40559441 475.23076923],[338.08227848 485.55063291 472.71518987],1327
2594,7,2,PW,-88.4885707485854,-331.72380509805157,-937.3841867123572,[360.50318471 428.57324841 584.60509554],[364.31125828 432.78807947 585.70198675],[362.12883436 438.02453988 582.97546012],1327
2595,8,2,PW,-155.41928790189266,-492.343736534414,-773.2199393004945,[376.57931034 482.66206897 404.31724138],[371.76623377 479.69480519 401.15584416],[367.52413793 480.79310345 400.62758621],1327
2596,9,2,PW,-183.34801364314006,-391.5641365907785,-957.1167963900991,[301.96575342 465.70547945 544.19863014],[302.06040268 468.20134228 548.94630872],[299.08441558 467.94155844 551.75324675],1327
2597,10,2,PW,-261.3078527571155,-519.5749172353646,-937.4826608010197,[361.10791367 514.53956835 551.89928058],[358.20261438 512.5751634  547.88235294],[354.21518987 518.64556962 547.73417722],1327
2598,11,2,PW,-293.6387192916987,-658.7277531110689,-1135.6300098662964,[309.7012987  489.51298701 505.12987013],[310.71779141 493.41717791 501.09815951],[315.36538462 495.8525641  499.41025641],1327
2599,12,2,PW,-312.63877776928456,-748.9559710835966,-1136.2948430710112,[398.45890411 397.1369863  666.93835616],[395.58503401 393.70068027 663.88435374],[393.43421053 398.21710526 666.15789474],1327
2600,13,2,PW,-157.45707385511722,-670.2276510806414,-1177.4088040640147,[361.27891156 598.36054422 438.51020408],[363.63398693 595.88888889 435.45751634],[367.7483871  594.23870968 434.1483871 ],1327
