,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
59,1000.0,1.0,1,2.134588961469416,1.8094035153390968,13.488760495767794,26.94624360923397
60,400.0,0.5,0,1.5940271275697557,1.0376372523717738,1.9122222852433453,11.68893842834075
61,400.0,0.5,1,1.5973067012117257,1.0208234569783314,1.4720053067883436,9.7013657521762
62,800.0,0.1,0,2.9571117125674307,1.406915659138067,2.215793431846413,11.654583056963462
63,800.0,0.1,1,2.9867783694733365,1.3744080076914647,1.8819281485420427,10.032600237376583
64,200.0,0.8,0,0.9161261747423537,0.7966031925070276,1.8393324254002037,11.697433378693717
65,200.0,0.8,1,0.9184759640061652,0.7807667042391264,1.4001312084048256,9.708222017439956
66,200.0,0.9,0,0.958032456550011,0.791883476887434,1.9851613572825515,11.680293409420978
67,200.0,0.9,1,0.9583608219652144,0.7937474397258005,1.5458061510665093,9.694175151820685
68,400.0,0.6000000000000001,0,1.6149740471435714,1.0405698074770267,1.9304821655768922,11.686800652162873
69,400.0,0.6000000000000001,1,1.6168425001154412,1.024475642099273,1.6377216797569112,10.411186127479905
70,600.0,0.6000000000000001,0,2.3733204092603732,1.237172879260499,2.1333760034680407,11.663663590852838
71,600.0,0.6000000000000001,1,2.3822929163219224,1.2348669482391958,1.6980408379152845,9.680384462939733
72,200.0,0.4,0,0.8419163722610913,0.7426563981480631,1.7959975917167263,11.7025200178916
73,200.0,0.4,1,0.8412514108323813,0.7442228569484124,1.3525704001551362,9.6947597463412
74,1000.0,0.2,0,3.5321795935571774,1.5301030325160974,2.4201937037323433,11.632968526742774
75,1000.0,0.2,1,,,,
76,800.0,0.6000000000000001,0,3.0516149132040513,1.4002053349853631,2.3854344311865048,11.637906378530356
77,800.0,0.6000000000000001,1,3.0634546790635975,1.398623073158429,1.9599722996275104,9.660442744901504
78,1000.0,0.1,0,3.5178069611349465,1.5415426498579352,2.383835368431317,11.637014368515445
79,1000.0,0.1,1,3.540556332099459,1.5407631318866948,1.9703780458112345,9.658232340660165
80,800.0,1.0,0,1.74611070111953,1.4791566080140053,10.269609529087788,23.595395816295284
81,800.0,1.0,1,1.736827637058903,1.4965431431950749,9.549925758262594,22.507586078388382
82,800.0,0.5,0,3.0354122291053214,1.4085060849641053,2.3455043988742847,11.642112308320861
83,800.0,0.5,1,3.032885601549528,1.3889042144890225,1.903228182067851,9.664672707344884
84,800.0,0.2,0,2.9608818284062317,1.392419320995173,2.229665578833592,11.65308499374538
85,800.0,0.2,1,2.986445571288342,1.3879557237439692,1.8117373002735984,9.671167755297692
86,200.0,0.7000000000000001,0,0.8800940651814958,0.7391512444924012,1.8123332332748263,11.700607031898517
87,200.0,0.7000000000000001,1,0.8864655034268553,0.805257947610323,1.3715596248466053,9.710975307568708
