,sigma,omega,std_sigma,std_omega,params,type,CUMUL_STD
114,8.35312296626156,-0.08866781972416111,0.1464977842835627,0.02475905100652935,176N_0.25V/E,WS,0.22084889441212097
115,7.929492548146404,0.09694741770274157,0.1954237783635273,0.04595148049844938,176N_0.25V/E,WS,0.40885748341888206
116,6.413309966015335,0.35664491725238034,0.3526268758705266,0.045543957079479544,176N_0.25V/E,WS,0.4322855224787282
117,4.149303256282253,0.6314370247582348,0.23465897551576598,0.02005132556319863,176N_0.25V/E,WS,0.1960188805366183
118,1.5875434068044725,0.8798949078160916,0.1217690235842021,0.01010573445504468,176N_0.25V/E,WS,0.09240829161944158
119,0.9486757358213135,0.9379025174219807,0.1232222492329609,0.010330276873974168,176N_0.25V/E,WS,0.09456018047586423
120,6.354697242713173,-0.5848682736854501,0.37685384228078916,0.0279235519493893,176N_0.3125V/E,WS,0.28706544835085446
121,6.428808576590811,-0.5646855036441484,0.6277916078031635,0.052129327436598295,176N_0.3125V/E,WS,0.5351622840832566
122,7.305877658646095,-0.46127933804918764,0.8987034598355428,0.085686734004167,176N_0.3125V/E,WS,0.8659458182526897
123,8.475912467764864,-0.30580034616554563,0.21910198539934803,0.03935280690549949,176N_0.3125V/E,WS,0.35697155256915153
124,9.026699873390632,-0.13460433885193962,0.08811787201147826,0.03168654900371598,176N_0.3125V/E,WS,0.26958801259457876
125,8.433320234965084,0.08839219058064238,0.1445500325348719,0.031747834074229576,176N_0.3125V/E,WS,0.27975768251213745
126,7.211855950933819,0.31073428571760314,0.28969582565787705,0.03820180220043845,176N_0.3125V/E,WS,0.3592867140410811
127,4.7147025891640535,0.5964506412850223,0.39269959813561117,0.03875200974788907,176N_0.3125V/E,WS,0.38156480883493116
128,1.6321262927893412,0.8564813797439996,0.27692944926043217,0.019987653133999618,176N_0.3125V/E,WS,0.20270760497111598
129,0.7951450462742573,0.9217987140780911,0.13441859790378496,0.008497331638581285,176N_0.3125V/E,WS,0.08093747177717774
130,4.136682205423184,-0.7312345577987092,0.8103918383463226,0.060599938405053025,176N_0.375V/E,WS,0.6381906964408152
131,4.67814635653324,-0.682008003610469,0.7057545153466208,0.062476410094826525,176N_0.375V/E,WS,0.6362035043108267
132,5.863850794488203,-0.5763126763035983,0.4704418697550339,0.05212943123391094,176N_0.375V/E,WS,0.508255592205036
133,6.702971204347838,-0.4560825213544778,0.3749939492609089,0.05960076587242779,176N_0.375V/E,WS,0.5552658440185556
134,7.310428249979391,-0.28814421672690005,0.22939233218552713,0.05691984818336533,176N_0.375V/E,WS,0.5076419056900117
135,7.398591304872563,-0.08505943114116617,0.29395265756592376,0.032556600885861035,176N_0.375V/E,WS,0.31216193813092796
136,6.281996561285554,0.16838029166563762,0.33375507100071716,0.04498982270969639,176N_0.375V/E,WS,0.4243611174752884
137,4.228686570712515,0.4492144810761549,0.39605951622629304,0.03718398011925407,176N_0.375V/E,WS,0.36884764418815186
138,1.3809451755474615,0.7245244501234158,0.34283183565230807,0.028714899092958015,176N_0.375V/E,WS,0.28795553698612875
139,0.506575735684251,0.7993309520072,0.20403258217209805,0.016624172061046483,176N_0.375V/E,WS,0.16173064357223624
140,10.74388572549347,-0.46670579446604776,0.867467711190497,0.05045063091773182,500N_0.125V/E,WS,0.5619182475874548
141,11.999251008712742,-0.38040561895126684,0.24028860275344258,0.01850204397216225,500N_0.125V/E,WS,0.1838487688238204
142,13.218767010780686,-0.2609984765579679,0.15442143758948307,0.021856440431076,500N_0.125V/E,WS,0.19759929967921322
143,13.668724581173347,-0.15985904433741022,0.08051843606792174,0.01719657419867169,500N_0.125V/E,WS,0.14546120783120392
