,FILE,VOLUME
208,VOLLAMBDA_5139MAX390.pkl,0.0010656118392944336
209,VOLLAMBDA_5139MAX391.pkl,0.0003401041030883789
210,VOLLAMBDA_5139MAX392.pkl,0.00037735700607299805
211,VOLLAMBDA_5139MAX49990.pkl,0.00011914968490600586
212,VOLLAMBDA_5139MAX49991.pkl,0.00010925531387329102
213,VOLLAMBDA_5139MAX49992.pkl,0.0001266002655029297
214,VOLLAMBDA_5139MAX6290.pkl,0.0001659393310546875
215,VOLLAMBDA_5139MAX6291.pkl,0.00022101402282714844
216,VOLLAMBDA_5139MAX6292.pkl,0.00015664100646972656
217,VOLLAMBDA_5139MAX790.pkl,0.0008203983306884766
218,VOLLAMBDA_5139MAX791.pkl,0.0008318424224853516
219,VOLLAMBDA_5139MAX792.pkl,0.0007901787757873535
220,VOLLAMBDA_697MAX100.pkl,9.953975677490234e-06
221,VOLLAMBDA_697MAX101.pkl,1.0371208190917969e-05
222,VOLLAMBDA_697MAX102.pkl,9.953975677490234e-06
223,VOLLAMBDA_697MAX12560.pkl,1.7762184143066406e-05
224,VOLLAMBDA_697MAX12561.pkl,1.9371509552001953e-05
225,VOLLAMBDA_697MAX12562.pkl,1.9729137420654297e-05
226,VOLLAMBDA_697MAX1580.pkl,1.3828277587890625e-05
227,VOLLAMBDA_697MAX1581.pkl,1.2993812561035156e-05
228,VOLLAMBDA_697MAX1582.pkl,1.2874603271484375e-05
229,VOLLAMBDA_697MAX190.pkl,1.049041748046875e-05
230,VOLLAMBDA_697MAX191.pkl,1.0788440704345703e-05
231,VOLLAMBDA_697MAX192.pkl,1.0728836059570312e-05
232,VOLLAMBDA_697MAX25060.pkl,2.8312206268310547e-05
233,VOLLAMBDA_697MAX25061.pkl,2.4080276489257812e-05
234,VOLLAMBDA_697MAX25062.pkl,2.4378299713134766e-05
235,VOLLAMBDA_697MAX3150.pkl,1.4662742614746094e-05
236,VOLLAMBDA_697MAX3151.pkl,1.4722347259521484e-05
237,VOLLAMBDA_697MAX3152.pkl,1.3589859008789062e-05
