,Cellid,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
19772,56,92.4872643402333,475.772653152795,-0.0007357597042387705,0.0005591369697460898,2000,261,0.6384944047314051
19773,86,0.0,0.0,,,10000,1000,0.0
19774,2,9.157755570315087,4711.54356207347,0.007812689831057896,0.8884580212440127,1000,366,0.0042504507902965056
19775,12,38.899499404025796,225.66016457994516,-0.0013926586262115398,6.126005362641359e-12,8000,788,0.6400332718682316
19776,21,84.5559579273674,736.5668087570348,-0.0020412312340189784,3.438642959876999e-19,9000,577,0.44440679505800895
19777,95,37.73467465255124,95.29775682801044,-0.0003923342713379689,0.1257146647805033,7000,261,0.8683019175147677
19778,130,90.67352600003493,813.4797548469229,-8.70541115881994e-05,0.6083224570529382,9000,4000,0.5511627038965892
19779,130,0.22601120060893043,39.48562231722309,-0.006863017271310121,0.5107886116811486,1000,472,0.01182080959220273
19780,87,0.0,0.0,,,2000,50,0.0
19781,106,1783.1257442424105,41943.873155599234,-0.00044555573927964264,0.01578096335037331,10000,5000,0.33039533426996914
19782,95,0.0026141270591212118,25.921464718797356,0.012614166851872452,0.47442865034802983,1000,472,0.0018649124217060373
19783,195,8.139279970617022,294.1152592184394,0.00032928078384874144,0.3474494417584444,7000,1000,0.29386481471314735
19784,193,13.283495984472221,404.8001538970102,-0.0013727739548743095,1.4069223919013023e-05,3000,4000,0.252891779236258
19785,144,10.071779170408472,295.67917143832886,-0.0015305477403891748,1.9808072210093093e-08,7000,4000,0.2500855310654258
19786,8,46.32504946669338,226.55247120465333,-0.0018471204593621892,1.3158868869972245e-10,6000,577,0.663264941315028
19787,204,0.0,0.0,,,2000,1000,0.0
19788,38,3.038238423527763,455.015768985007,-0.0003403103588940117,0.028155733568519394,6000,50,0.13099191994914383
19789,159,1545.9572971278367,44988.40203755006,-0.0007965011178426021,1.3907075041838131e-06,4000,4000,0.3086763527887007
19790,20,4771.836081310205,35214.97916992838,-0.0006120668332632204,0.0023970682981878516,8000,5000,0.5229830645063841
19791,24,10.53021932255486,375.9610847464429,-0.0016949095616434037,4.99383297840969e-14,5000,2000,0.2397311130960908
19792,210,34.21700042289473,56.00752208996744,-0.0008972652519087466,0.00010833077489805954,10000,366,0.957703868742066
19793,44,19.494847396129167,252.1090514651395,-0.0005329855949009973,0.09240922259815086,9000,3000,0.41177659532005934
19794,73,4.793866404632001,137.1672638572188,0.00014639094278206128,0.5105801877357647,7000,5000,0.26631342735043406
19795,3,0.07384475063600787,6.149244393509245,0.02411343799614195,0.365010540716857,5000,50,0.011409603254287118
19796,5,0.0,0.0,,,2000,155,0.0
19797,87,10.491485059735199,72.66959306285975,-0.001242529512646193,1.4417867157734826e-06,3000,577,0.5005931371843435
19798,181,7.299497817516701,92.17662411764584,-0.0006469276958632719,0.017418581746073206,7000,894,0.3951652277840574
19799,176,443.3134289269144,3038.9531092497646,-0.0005614789848891447,0.0007589921724633705,4000,5000,0.5777702610230435
19800,157,564.039501584078,21473.348978780374,-0.004522929338483969,0.05684862309890233,1000,788,0.04488773836744762
19801,10,268.89274145326215,59425.38924773512,0.00011814718926144574,0.48606158647579734,1000,5000,0.10866302061030682
19802,106,66.27508082530252,259.9825671780316,-0.0007041969714684576,0.004118963767146153,3000,261,0.8239151482285807
19803,158,33.215715019221975,6210.930296688952,-0.00011738222977845582,0.46645466669015345,4000,5000,0.12094579529749015
19804,13,1742.462652355615,39162.648241415256,-0.0005006107747469125,0.005436186900008467,3000,4000,0.34754454717405947
19805,195,0.010150657440162643,4.041042711259542,-0.3817380409759728,0.20361841404459477,2000,155,0.002145798323810433
19806,61,62.40814775661314,57.94150640977176,0.00021115186277520645,0.4657539729625032,9000,155,1.514671159316319
19807,112,0.02076221048945595,1115.5851864754125,-0.0005543352191385647,0.19531915228547475,1000,261,0.0029516624032322053
19808,111,41.422658165043806,30.70383063705792,-0.0018978371388839112,1.9059903680887863e-12,7000,261,1.2624991896464173
19809,104,12350.22914072295,45635.41134645653,-0.0019820382118650275,3.4144988904185866e-18,8000,155,0.7787454651446212
19810,2,93.679331665307,212.45723546956498,-0.0004048200454076855,0.049255577460559856,5000,788,0.948262329827876
19811,139,38.60167778285383,91.0810148579687,-0.002316982383073884,5.354209730577718e-13,8000,788,0.7562667930800625
19812,131,3.6658938620183004,34.789045639162744,8.808463475355325e-05,0.7562254892674645,7000,788,0.4669553490387267
19813,44,267.45974784102054,2228.6341834429495,-0.00043466419947787814,0.020838708828836875,8000,472,0.5397112423738148
19814,108,22.965449844599732,1155.1810261028627,-0.0017486253108214254,2.250266669056663e-14,9000,3000,0.23754837055402542
19815,68,32.017546283513525,97.0940202921182,-0.0011803814429622017,6.513123050845881e-05,6000,472,0.7550438397447712
19816,212,0.09851169834325273,83.06467441915561,-0.0001368400768804896,0.8024485465708064,1000,1000,0.011469580124495076
19817,88,14992.969465930639,50830.9623058143,-0.0002238842975706105,0.367486013752657,10000,788,0.7641430535471424
19818,53,20.022048107994614,42.408470572055805,-0.0013015908055860705,8.503460050134773e-07,6000,1000,0.8914179408407948
19819,135,0.5196744329125107,42.044928108843706,-0.0015628804670914191,3.00368371993017e-12,3000,3000,0.15093136664403786
19820,95,18.81865166845313,12.73480090335721,-0.001266373750390639,1.4546426980094039e-06,10000,50,0.7855553616942986
19821,20,1751.6135178385005,41684.43706211936,-0.0008496829136141043,4.151954303574052e-05,5000,4000,0.2677286428545179
19822,173,6.279115204215766,171.14285027724793,-0.0010844960248700898,1.379583563114972e-07,5000,3000,0.26762631497540273
19823,127,2.150495829988181,554.5098516188298,-0.0014299786698404684,3.093645230382116e-10,6000,3000,0.10668913968594691
19824,111,90.61180478693015,462.4526380594641,-0.0013626617547008745,1.6256450221125962e-07,4000,1000,0.6602201331098074
19825,171,15.635035384283922,99.49403747116345,-0.0012172321737318355,1.4474671309678348e-06,6000,577,0.531830068643964
19826,88,11.833179973512149,66.05417850091753,-0.0006589843174262415,0.036744862453012984,10000,577,0.5959722162851763
19827,138,3.029047204153004,60.43420351583082,-0.0006079454007999036,0.007273574823452484,7000,5000,0.29912843659237737
19828,114,0.3040804680203743,71.49661828181522,0.0071781670060534816,0.3062726734145191,1000,683,0.012472390481101665
19829,88,87.20211562979674,80.08407893675884,-0.0012638971288482788,5.7860076340953295e-08,9000,261,1.3310640967788137
19830,142,155.46699172974854,248.27807606689322,-0.0008540470767798817,0.00034624518225753016,9000,366,1.035023775317762
19831,114,7.504434824878259,144.4078447016365,-0.001226332351534215,7.218799628156194e-08,3000,2000,0.29921320067859636
19832,47,127.17099450272045,8853.127028118175,0.008720455086055985,0.86725451556279,1000,366,0.01016280179538352
19833,129,7.107007594355233,103.79140498319306,-0.0013000559245256586,1.2336539216447007e-06,7000,788,0.3717628772258155
19834,17,11.954675401899513,22.049854644296452,-0.0014573699703695144,1.1744798975963074e-17,6000,50,0.49901927248338535
19835,141,128.3669098786291,129.25315537104768,0.0002073027434914977,0.48402183805998267,5000,261,1.424696365161296
19836,210,14.679699602823588,20829.092157639367,0.006095527454537916,0.09060087557070116,1000,788,0.006831980505238401
19837,86,0.0,0.0,,,8000,5000,0.0
19838,166,0.1293192144625161,555.9113902682601,0.024158426896372643,0.5547457496412878,6000,155,0.005471305167004459
19839,68,9.943702853880634,87.31798076387125,-0.0007848333030457473,0.03692714711513696,7000,1000,0.483057010674177
19840,149,15.27064534797978,251.81275712813508,-0.0019493580361299085,5.4257408169971685e-12,3000,788,0.35483741063950797
19841,93,273.1852955015358,405.4261469372351,-0.0013378724602566058,2.779482360327313e-08,5000,788,0.990659986432223
19842,216,50.07057908249777,209.18657143444338,-0.000747525257663354,0.0009568318015681217,8000,894,0.7092838957637749
19843,168,11.457444879767905,103.71465238408094,-0.0007161674240998367,0.010455237812205328,3000,788,0.4276071678353038
19844,164,17.045512769209566,88.58239372125239,-0.0008610340127918194,1.5735138779802545e-05,8000,2000,0.592740399284072
19845,45,78.51734135701624,184.09131811736208,-0.0017324020775284805,1.1012059146858906e-14,6000,261,0.9297953538002612
19846,74,90.44194135273382,140.24844637006927,-0.0006223741949698631,0.0003494495675942276,8000,155,1.1931133482742728
19847,70,39.88779813432062,341.9397684596273,-0.0012903683689734452,4.821629740673549e-06,10000,894,0.5227766591688258
19848,38,24.57298143363685,40382.593360908955,-0.0003000939699614979,0.0761178934753691,1000,4000,0.036835619782260916
19849,57,1.1033175528675738,46.54142929790011,-0.0010494804699985709,0.00011694757649244837,8000,4000,0.21552244788608876
19850,58,36.29207115106717,118.63767244109158,-0.0008922237070920787,0.0007792118645821587,5000,683,0.6254381300874603
19851,18,7.10191702314602,69.83745836494374,-0.003268293798230992,4.7276069999734143e-14,4000,894,0.42213120879080923
19852,85,9.531831193129019,106.0486435170048,-0.003828398899745647,2.7518876668488804e-23,6000,788,0.4068068460361286
